Date,Region,Province,PrizeName,WinningNumbers
17-12-2023,Miền Bắc,XSMB,Đặc biệt,03257
17-12-2023,Miền Bắc,XSMB,Giải nhất,14988
17-12-2023,Miền Bắc,XSMB,Giải nhì,21865
17-12-2023,Miền Bắc,XSMB,Giải nhì,30155
17-12-2023,Miền Bắc,XSMB,Giải ba,62858
17-12-2023,Miền Bắc,XSMB,Giải ba,00770
17-12-2023,Miền Bắc,XSMB,Giải ba,81163
17-12-2023,Miền Bắc,XSMB,Giải ba,91066
17-12-2023,Miền Bắc,XSMB,Giải ba,32492
17-12-2023,Miền Bắc,XSMB,Giải ba,88398
17-12-2023,Miền Bắc,XSMB,Giải tư,6066
17-12-2023,Miền Bắc,XSMB,Giải tư,8357
17-12-2023,Miền Bắc,XSMB,Giải tư,7220
17-12-2023,Miền Bắc,XSMB,Giải tư,9032
17-12-2023,Miền Bắc,XSMB,Giải năm,5532
17-12-2023,Miền Bắc,XSMB,Giải năm,5899
17-12-2023,Miền Bắc,XSMB,Giải năm,2304
17-12-2023,Miền Bắc,XSMB,Giải năm,2862
17-12-2023,Miền Bắc,XSMB,Giải năm,4668
17-12-2023,Miền Bắc,XSMB,Giải năm,1049
17-12-2023,Miền Bắc,XSMB,Giải sáu,347
17-12-2023,Miền Bắc,XSMB,Giải sáu,930
17-12-2023,Miền Bắc,XSMB,Giải sáu,724
17-12-2023,Miền Bắc,XSMB,Giải bảy,90
17-12-2023,Miền Bắc,XSMB,Giải bảy,59
17-12-2023,Miền Bắc,XSMB,Giải bảy,43
17-12-2023,Miền Bắc,XSMB,Giải bảy,61
17-12-2023,Miền Nam,Tiền Giang,Giải tám,74
17-12-2023,Miền Nam,Tiền Giang,Giải bảy,585
17-12-2023,Miền Nam,Tiền Giang,Giải sáu,0561
17-12-2023,Miền Nam,Tiền Giang,Giải sáu,4782
17-12-2023,Miền Nam,Tiền Giang,Giải sáu,2639
17-12-2023,Miền Nam,Tiền Giang,Giải năm,4923
17-12-2023,Miền Nam,Tiền Giang,Giải tư,64014
17-12-2023,Miền Nam,Tiền Giang,Giải tư,55334
17-12-2023,Miền Nam,Tiền Giang,Giải tư,49608
17-12-2023,Miền Nam,Tiền Giang,Giải tư,51361
17-12-2023,Miền Nam,Tiền Giang,Giải tư,91325
17-12-2023,Miền Nam,Tiền Giang,Giải tư,96515
17-12-2023,Miền Nam,Tiền Giang,Giải tư,71105
17-12-2023,Miền Nam,Tiền Giang,Giải ba,64945
17-12-2023,Miền Nam,Tiền Giang,Giải ba,44093
17-12-2023,Miền Nam,Tiền Giang,Giải nhì,91350
17-12-2023,Miền Nam,Tiền Giang,Giải nhất,83410
17-12-2023,Miền Nam,Tiền Giang,Đặc biệt,143390
17-12-2023,Miền Nam,Kiên Giang,Giải tám,43
17-12-2023,Miền Nam,Kiên Giang,Giải bảy,171
17-12-2023,Miền Nam,Kiên Giang,Giải sáu,7461
17-12-2023,Miền Nam,Kiên Giang,Giải sáu,8719
17-12-2023,Miền Nam,Kiên Giang,Giải sáu,7494
17-12-2023,Miền Nam,Kiên Giang,Giải năm,2009
17-12-2023,Miền Nam,Kiên Giang,Giải tư,45845
17-12-2023,Miền Nam,Kiên Giang,Giải tư,08404
17-12-2023,Miền Nam,Kiên Giang,Giải tư,02142
17-12-2023,Miền Nam,Kiên Giang,Giải tư,44374
17-12-2023,Miền Nam,Kiên Giang,Giải tư,15933
17-12-2023,Miền Nam,Kiên Giang,Giải tư,30703
17-12-2023,Miền Nam,Kiên Giang,Giải tư,55218
17-12-2023,Miền Nam,Kiên Giang,Giải ba,04543
17-12-2023,Miền Nam,Kiên Giang,Giải ba,59796
17-12-2023,Miền Nam,Kiên Giang,Giải nhì,56974
17-12-2023,Miền Nam,Kiên Giang,Giải nhất,73148
17-12-2023,Miền Nam,Kiên Giang,Đặc biệt,638942
17-12-2023,Miền Nam,Đà Lạt,Giải tám,75
17-12-2023,Miền Nam,Đà Lạt,Giải bảy,823
17-12-2023,Miền Nam,Đà Lạt,Giải sáu,6150
17-12-2023,Miền Nam,Đà Lạt,Giải sáu,9450
17-12-2023,Miền Nam,Đà Lạt,Giải sáu,8683
17-12-2023,Miền Nam,Đà Lạt,Giải năm,0139
17-12-2023,Miền Nam,Đà Lạt,Giải tư,59513
17-12-2023,Miền Nam,Đà Lạt,Giải tư,71605
17-12-2023,Miền Nam,Đà Lạt,Giải tư,60627
17-12-2023,Miền Nam,Đà Lạt,Giải tư,36137
17-12-2023,Miền Nam,Đà Lạt,Giải tư,03149
17-12-2023,Miền Nam,Đà Lạt,Giải tư,18172
17-12-2023,Miền Nam,Đà Lạt,Giải tư,59209
17-12-2023,Miền Nam,Đà Lạt,Giải ba,92745
17-12-2023,Miền Nam,Đà Lạt,Giải ba,45650
17-12-2023,Miền Nam,Đà Lạt,Giải nhì,13542
17-12-2023,Miền Nam,Đà Lạt,Giải nhất,51950
17-12-2023,Miền Nam,Đà Lạt,Đặc biệt,391536
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải tám,06
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải bảy,091
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải sáu,5588
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải sáu,9680
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải sáu,4677
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải năm,5829
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải tư,30548
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải tư,25088
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải tư,70129
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải tư,21767
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải tư,18453
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải tư,00920
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải tư,26331
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải ba,93082
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải ba,41967
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải nhì,21347
17-12-2023,Miền Trung,Thừa Thiên Huế,Giải nhất,95905
